Волосовский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Женщины,374.0,395.0,363.0,378.0,407.0,400.0,418.0,419.0,388.0,401.0
Мужчины,395.0,398.0,402.0,462.0,436.0,428.0,485.0,418.0,455.0,414.0
30-39,,,,,,,,,,
Всего,,,,,,,8963.0,8689.0,8455.0,8148.0
Женщины,,,,,,,4345.0,4241.0,3999.0,3859.0
Мужчины,,,,,,,4618.0,4448.0,4456.0,4289.0
35-39,,,,,,,,,,
Всего,4021.0,4126.0,4230.0,4311.0,4270.0,4264.0,4414.0,4518.0,4538.0,4532.0
Женщины,1900.0,1945.0,1961.0,2004.0,2019.0,2051.0,2116.0,2163.0,2165.0,2193.0
Мужчины,2121.0,2181.0,2269.0,2307.0,2251.0,2213.0,2298.0,2355.0,2373.0,2339.0
40,,,,,,,,,,
Всего,657.0,773.0,792.0,758.0,840.0,838.0,817.0,885.0,843.0,812.0
Женщины,370.0,378.0,397.0,353.0,377.0,399.0,396.0,402.0,430.0,368.0
Мужчины,287.0,395.0,395.0,405.0,463.0,439.0,421.0,483.0,413.0,444.0
41,,,,,,,,,,
Всего,785.0,657.0,775.0,800.0,761.0,857.0,851.0,800.0,848.0,812.0
Женщины,371.0,370.0,385.0,401.0,348.0,389.0,403.0,393.0,396.0,418.0
Мужчины,414.0,287.0,390.0,399.0,413.0,468.0,448.0,407.0,452.0,394.0
42,,,,,,,,,,
Всего,702.0,792.0,652.0,770.0,785.0,741.0,847.0,844.0,852.0,844.0
Женщины,308.0,376.0,375.0,380.0,386.0,347.0,391.0,398.0,421.0,391.0
Мужчины,394.0,416.0,277.0,390.0,399.0,394.0,456.0,446.0,431.0,453.0
43,,,,,,,,,,
Всего,747.0,708.0,787.0,658.0,759.0,790.0,723.0,837.0,849.0,831.0
Женщины,374.0,310.0,374.0,377.0,380.0,380.0,345.0,388.0,427.0,412.0
Мужчины,373.0,398.0,413.0,281.0,379.0,410.0,378.0,449.0,422.0,419.0
44,,,,,,,,,,
Всего,683.0,753.0,715.0,790.0,657.0,762.0,780.0,711.0,799.0,843.0
