Волховский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Всего,831.0,806.0,688.0,704.0,665.0,678.0,732.0,751.0,699.0,727.0
Женщины,348.0,369.0,330.0,309.0,312.0,316.0,345.0,364.0,335.0,386.0
Мужчины,483.0,437.0,358.0,395.0,353.0,362.0,387.0,387.0,364.0,341.0
19,,,,,,,,,,
Всего,793.0,872.0,807.0,701.0,678.0,670.0,672.0,738.0,684.0,646.0
Женщины,341.0,350.0,366.0,322.0,291.0,311.0,322.0,348.0,334.0,338.0
Мужчины,452.0,522.0,441.0,379.0,387.0,359.0,350.0,390.0,350.0,308.0
15-19,,,,,,,,,,
Всего,3868.0,3844.0,3666.0,3629.0,3650.0,3741.0,3865.0,4002.0,3633.0,3528.0
Женщины,1748.0,1772.0,1758.0,1710.0,1708.0,1774.0,1865.0,1935.0,1750.0,1779.0
Мужчины,2120.0,2072.0,1908.0,1919.0,1942.0,1967.0,2000.0,2067.0,1883.0,1749.0
18-19,,,,,,,,,,
Всего,1624.0,1678.0,1495.0,1405.0,1343.0,1348.0,1404.0,1489.0,1383.0,1373.0
Женщины,689.0,719.0,696.0,631.0,603.0,627.0,667.0,712.0,669.0,724.0
Мужчины,935.0,959.0,799.0,774.0,740.0,721.0,737.0,777.0,714.0,649.0
20,,,,,,,,,,
Всего,840.0,778.0,887.0,801.0,693.0,654.0,687.0,693.0,699.0,671.0
Женщины,331.0,344.0,368.0,373.0,318.0,289.0,321.0,340.0,334.0,345.0
Мужчины,509.0,434.0,519.0,428.0,375.0,365.0,366.0,353.0,365.0,326.0
21,,,,,,,,,,
Всего,994.0,828.0,785.0,875.0,794.0,694.0,658.0,688.0,687.0,763.0
Женщины,413.0,333.0,348.0,367.0,376.0,320.0,295.0,324.0,351.0,347.0
Мужчины,581.0,495.0,437.0,508.0,418.0,374.0,363.0,364.0,336.0,416.0
22,,,,,,,,,,
Всего,1066.0,974.0,859.0,802.0,909.0,795.0,743.0,700.0,684.0,750.0
Женщины,537.0,416.0,359.0,358.0,396.0,381.0,353.0,315.0,335.0,360.0
Мужчины,529.0,558.0,500.0,444.0,513.0,414.0,390.0,385.0,349.0,390.0
23,,,,,,,,,,
Всего,1263.0,1073.0,1007.0,872.0,814.0,926.0,832.0,753.0,620.0,722.0
Женщины,605.0,547.0,420.0,361.0,368.0,411.0,401.0,345.0,286.0,355.0
Мужчины,658.0,526.0,587.0,511.0,446.0,515.0,431.0,408.0,334.0,367.0
24,,,,,,,,,,
