М_Автовладельцы,Ж_Автовладельцы,Ж_Беременные,М_Занятые,Ж_Занятые,М_Инвалиды_ЗР,Ж_Инвалиды_ЗР,М_Инвалиды_ОДА_сгл,Ж_Инвалиды_ОДА_сгл,М_Инвалиды_ОДА,Ж_Инвалиды_ОДА,М_Мотоциклисты,Ж_Мотоциклисты,М_Мусульмане,Ж_Мусульмане,М_Православные,Ж_Православные
0.4572516871610152,0.29593802839054695,0.03491801344815383,0.32948938120999277,0.3112399842067494,0.00020701362149629446,0.0002359325232983367,0.003063801598145158,0.003067122802878377,0.003063801598145158,0.003067122802878377,0.0021943443878607214,0.0016908497503047462,0.029313128803875294,0.025873933388384257,0.33242247339874964,0.4270771892572058
0.49830224456497774,0.3117069263521774,0.03490577968888327,0.4991159425468213,0.471613735919917,0.00022048771883406094,0.0002107836937734497,0.003042730519910041,0.0030352851903376753,0.003042730519910041,0.0030352851903376753,0.003439608413811351,0.0029509717128282957,0.03104467081183578,0.02748619366805784,0.3985095030206817,0.4862358247965937
0.5301762291784019,0.32429730918395905,0.03490464195753868,0.5916009370305789,0.5838443661253537,0.00020117486118934578,0.00019991203870297068,0.0030578578900780557,0.0030386629882851544,0.0030578578900780557,0.0030386629882851544,0.00571336605777742,0.004318100035984167,0.02820471553874628,0.025868617808164407,0.4328478313349964,0.4780696493542841
0.5571557525028722,0.33463811797862764,0.03491603710807531,0.7405878562172281,0.7038670681750788,0.00020515345478417857,0.00023486123615297296,0.003036271130805843,0.0030531960699886483,0.003036271130805843,0.0030531960699886483,0.009396028229115378,0.005910674443183153,0.029501066797964878,0.02469957333542099,0.5404972919743969,0.6016753434845579
0.5819179513979619,0.34278596778596776,0.0630971880971881,0.7993458324477671,0.7341673198010678,0.00022397252603680614,0.00020475020475020476,0.0030609578558363506,0.003071253071253071,0.0030609578558363506,0.003071253071253071,0.015454104296539624,0.0075075075075075074,0.02766060696554556,0.02177177177177177,0.6163723916532905,0.7109268359268359
0.6045312674172333,0.34822372594628886,0.06312116726580673,0.6921358726659065,0.6680262852899851,0.00022294058633374206,0.00021146119687037428,0.003065433062088953,0.003066187354620427,0.003065433062088953,0.003066187354620427,0.024411994203544757,0.008987100866990907,0.022405528926541077,0.018000634383590612,0.5869468286701593,0.7199725100444069
0.6224058162590879,0.35213627478358,0.06311086288746161,0.6225272824165109,0.6718331555378363,0.0002203128442388191,0.00020943870427254956,0.003062348534919586,0.003048496695522666,0.003062348534919586,0.003048496695522666,0.035955056179775284,0.010076328772223773,0.019497686715135493,0.017383412454621616,0.5616435338180216,0.7653588383133203
0.6346507001300788,0.3556531284302964,0.06311745334796927,0.5716333702907418,0.6295044252278824,0.00021042160838625755,0.00022360450461438386,0.0030606779401637463,0.003049152335650689,0.0030606779401637463,0.003049152335650689,0.05002295508455123,0.010509411716876043,0.01861274772362078,0.016810993210554133,0.55560869232535,0.7441354636744318
0.6454977933169026,0.35878652914517895,0.06311533052039381,0.6019926784309089,0.6458262882249535,0.00021016029498863224,0.00021487732458196594,0.003056877018016469,0.0030473511486169714,0.003056877018016469,0.0030473511486169714,0.06495863663284997,0.01029457727769964,0.019869700617107047,0.017580872011251757,0.5952694828146196,0.7583802156586966
0.6560537601470363,0.361574862767367,0.06106378951353398,0.6352787094719011,0.6362581230502838,0.0002105988665951907,0.0002082150293393905,0.003063256241384592,0.003047510883967443,0.003063256241384592,0.003047510883967443,0.07887884821565323,0.009540034071550256,0.02035150865369888,0.017603634298693924,0.6088413233266963,0.7613855763770585
0.6660528392649103,0.36442772306443877,0.06106377485153628,0.6437145740767052,0.6411893052846754,0.0003006501559622684,0.0002950831765703958,0.004284264722462325,0.004278706060270739,0.004284264722462325,0.004278706060270739,0.08998834980645647,0.008336099738113681,0.02001202600623849,0.017077938844011657,0.5946672178586193,0.7493821695990557
0.6757587548638132,0.367948431328713,0.06107012445040614,0.6777430151708612,0.660462799356282,0.000311284046692607,0.00029808480512705867,0.004280155642023347,0.0042663387733810265,0.004280155642023347,0.0042663387733810265,0.09797665369649805,0.00687458081824279,0.021070038910505837,0.01758700350249646,0.6078793774319066,0.7545085326775468
0.6853085832143424,0.3722140639812629,0.061062884547465474,0.6959046451462259,0.6654437640615707,0.0002974773917182294,0.000297414353960258,0.004283674440742504,0.004275331338178709,0.004283674440742504,0.004275331338178709,0.10155878153260352,0.00527910478279458,0.02252895446612724,0.018625573916761156,0.6123274631128034,0.7534249121698235
0.6944455673687189,0.3766471665780299,0.06106088361007701,0.7076658725583705,0.7023531169922302,0.0003031895541092291,0.00029545588843585654,0.004285079031410437,0.004274261852705391,0.004285079031410437,0.004274261852705391,0.0996685127541739,0.0037621383127499066,0.02453814124590694,0.021331915145068842,0.6197396612362048,0.7955642222616164
0.7026714772174477,0.38078132016165245,0.03385330235645536,0.7028388649791786,0.6908220301198592,0.00030403761958813037,0.0003123718787216181,0.004276795848873034,0.004275590090002147,0.004276795848873034,0.004275590090002147,0.09325847251499919,0.0024989750297729446,0.026309388681692882,0.022881240116358524,0.6175814820820497,0.7832334394096171
0.7094515752625438,0.3843332349593153,0.033833635482102956,0.7471542093451177,0.7308640870162229,0.0003082274718742432,0.0002951220540494962,0.00427115211025737,0.0042792697837176945,0.00427115211025737,0.0042792697837176945,0.08291318993417142,0.0015388507104009445,0.03014024349970278,0.02626586281040516,0.6644283481209132,0.841224334921371
0.7136379251116455,0.3867375179895937,0.033853647736078823,0.7587787253641926,0.7495345779259815,0.00029772128707202563,0.0003099745378058231,0.004282606206343753,0.004273220414037418,0.004282606206343753,0.004273220414037418,0.06932325661284781,0.0008635004981733643,0.03215389900377877,0.028274106055574007,0.6785984197870147,0.8683936676630134
0.7137203739943466,0.38694175159499544,0.03384704615129671,0.7049133074999625,0.6874150845572123,0.00030441400304414006,0.0003107133979617201,0.004283539899978256,0.004267130665340956,0.004283539899978256,0.004267130665340956,0.05422918025657752,0.0004971414367387521,0.030245705588171343,0.025913497390007457,0.6249184605348989,0.7849034717043666
0.7093838724550462,0.38424106307317984,0.03385270447314243,0.7609863197705745,0.7503591123039335,0.0003154650683103206,0.00030413625304136254,0.004270911694047417,0.004281302638966872,0.004270911694047417,0.004281302638966872,0.03957873280108714,0.00030413625304136254,0.032565701667111556,0.027886954894254166,0.670339003615715,0.854365524985963
0.7011254177314724,0.3787334038303372,0.008013159440723769,0.6688537940356205,0.6590524286595476,0.00029486927462158444,0.00030548701680178594,0.004275604482012974,0.004276818235225003,0.004275604482012974,0.004276818235225003,0.02710340082563397,0.00018799201033956056,0.03167387458226853,0.027141346492774058,0.6509730686062513,0.8291387616026319
0.689530493965013,0.37089469125108276,0.0073258260116322235,0.7056623978536387,0.6753704704101147,0.0005583027596107832,0.0005444870684321247,0.007842824480246717,0.007820814255661428,0.007842824480246717,0.007820814255661428,0.016802254479715,0.0,0.03296644866273196,0.028140081673060265,0.6793215292178444,0.8450934290310606
0.675426929829228,0.3611529626793786,0.0065700101267073385,0.6869887999841586,0.6550100626223576,0.0005585997765600894,0.000568083582384469,0.00782039687184125,0.007829673722429422,0.00782039687184125,0.007829673722429422,0.009549396180241528,0.0,0.03120178751928499,0.027070417664929482,0.6599191360323455,0.8272531923827401
0.6592953523238381,0.3497966728280961,0.005816389402341343,0.6748532615496295,0.6362747250114748,0.0005622188905547226,0.0005668515095502157,0.007844292139644464,0.007837338262476895,0.007844292139644464,0.007837338262476895,0.005381237952452345,0.0,0.02902120368387235,0.02523721503388786,0.65187941743414,0.8178927911275415
0.6414632790348586,0.33702632858275977,0.005091727861218432,0.6875514588137974,0.6459484770531357,0.0005559570801134153,0.0005629045876723895,0.007838994829599155,0.0078294910830796,0.007838994829599155,0.0078294910830796,0.0028353811085784176,0.0,0.027519875465614053,0.02371875239874114,0.6744871295935954,0.8435125246270757
0.6224597153773742,0.32301882834216183,0.004379294068285519,0.6734862258553417,0.6495171871213574,0.0005537405171936431,0.0005506896732574606,0.007835428318290049,0.007840772014475271,0.007835428318290049,0.007840772014475271,0.0020211528877567973,0.0,0.024779888144415528,0.021608013845911784,0.672296361924802,0.8632716211255048
0.6028682818156502,0.30820456123209833,0.00365104260406757,0.6698221815988042,0.6267914141544806,0.000556947925368978,0.0005656544879541305,0.007825118351434141,0.007842028128454992,0.007825118351434141,0.007842028128454992,0.0019214703425229742,0.0,0.022333611807296018,0.018769444373023424,0.6719019771651351,0.84922736739259
0.5834696043836245,0.2933660674216626,0.0029302288746337214,0.665875173948131,0.6384565337340753,0.0005450842011647588,0.000554367624930704,0.007831999311472588,0.007840342124019958,0.007831999311472588,0.007840342124019958,0.001893450382993373,0.0,0.020713199644260837,0.017554974789472294,0.6779413030381272,0.8695916158496344
0.565527579601921,0.27966317289101456,0.0022132899155388216,0.644321987016906,0.645802581655908,0.0005552008439052827,0.000559682507377633,0.007828331899064487,0.007835555103286863,0.007828331899064487,0.007835555103286863,0.001804402742692169,0.0,0.01854370818643644,0.016179912486007936,0.6335952030647086,0.820672636613412
0.5500787401574803,0.2679659636608723,0.0014322221910191245,0.7946855643044619,0.7128874127251658,0.0005669291338582678,0.0005616557611839703,0.00784251968503937,0.007835097868516386,0.00784251968503937,0.007835097868516386,0.001889763779527559,0.0,0.02022047244094488,0.017692156477295065,0.6894488188976378,0.8719986520261731
0.5372160706519921,0.2582794830371567,0.000721209323794138,0.8909052239665174,0.7696564311323385,0.0005686950122102165,0.0005481190860835449,0.007827919579834744,0.007817909069928457,0.007827919579834744,0.007817909069928457,0.001806442979961864,0.0,0.02107516809955508,0.017857142857142856,0.7024721506707255,0.8611527809831525
0.5267062824167897,0.25036949453148094,0.0,1.0,0.861169807044554,0.0012365609865008758,0.0012415016257759386,0.0106825129667159,0.008040201005025126,0.017517947308762407,0.017528820573455513,0.001751794730876241,0.0,0.021158932435681656,0.018031333136269583,0.6993782846151204,0.8662725391664203
0.5181247642237388,0.24374234202695608,0.0,0.9945405511701623,0.8502008446111536,0.0012346102404060496,0.0012544489176731432,0.012174628759559656,0.009277087344652548,0.01752460646798587,0.017533111616780443,0.0017147364450084022,0.0,0.02085119517130217,0.017999883307077427,0.6890496930621763,0.8692455802555575
0.5105287028638071,0.23776052974381243,0.0,0.9340753623197167,0.789448734599561,0.001231048334845147,0.0012483716891011725,0.013671115718543476,0.010475466782457664,0.017526240767137487,0.017531480677377333,0.0015226124141505767,0.0,0.01989114941039264,0.017368649587494574,0.6565699105870156,0.8434650455927052
0.5028479769543014,0.23169872380405565,0.0,0.9207879077080537,0.7468543659545355,0.001243943957051198,0.0012527076754443197,0.015189210422940946,0.011665840227575228,0.017513421500589238,0.01751180937964872,0.0014076207935053032,0.0,0.0208851643315438,0.017642299762507502,0.6829907031556894,0.8547903019547459
0.4943460770960692,0.22512515254912704,0.0,0.8658064457281018,0.6949979657534125,0.001235310886573121,0.001245298996289009,0.016660859649678502,0.012851485641702572,0.01751607487884451,0.017508903887823467,0.0012669855246903803,0.0,0.02128535681479839,0.018156459365893753,0.6815115137309556,0.8654828024208613
0.48466011010082266,0.2178533724340176,0.0,0.8130757040073855,0.634371282584537,0.0012370878950949465,0.0012434017595307919,0.01815426486051834,0.014052785923753666,0.017535720912970867,0.01752492668621701,0.001113379105585452,0.0,0.021246984598255705,0.01836950146627566,0.6803055607100884,0.8589560117302053
0.4734849641276141,0.20956121647402087,0.0,0.7643128402194876,0.5827234214456081,0.001251717295069455,0.0012568735271013354,0.019661120439627536,0.015060038155089215,0.017524042130972372,0.017528896869038267,0.0010380094642039384,0.0,0.020271714242100444,0.017775782740433173,0.6791634864906121,0.8515991471215352
0.4601616791944405,0.199745168825653,0.0,0.6784781704855073,0.5275566057562033,0.0012480499219968799,0.0012529199405393926,0.021188483902992484,0.02206413251221066,0.017529428449865266,0.017519643236355915,0.0008793078995887108,0.0,0.0170472273436392,0.015608409428753451,0.6309459651113317,0.8271607559991505
0.4442735602094241,0.18807655238882004,0.0,0.7135248711455627,0.528167313653707,0.0012434554973821989,0.0012391573729863693,0.022676701570680628,0.029051356188902658,0.0175065445026178,0.017531782091881224,0.0007853403141361257,0.0,0.016786649214659687,0.014410941300656295,0.7213678010471204,0.9082564596814907
0.426532609062384,0.17515358361774744,0.0,0.4597596346469581,0.3248530807252456,0.0012483552076655757,0.0012514220705346986,0.024157360234825738,0.036063708759954495,0.017510712237254967,0.017519908987485778,0.0006073079388643341,0.0,0.013968082593879685,0.011399317406143345,0.7296804885454975,0.9050967007963595
0.4081207704320666,0.16196506949524506,0.0,0.4183569421382558,0.2892939203179591,0.004927988894672913,0.006263716166788588,0.02842269651223321,0.041834308705193855,0.0691653652611487,0.08803493050475494,0.0,0.0,0.01103591879229568,0.008778346744696415,0.7275030366128752,0.9140224945135332
0.38959207156378756,0.14906832298136646,0.0,0.3915499114292509,0.2618661194612528,0.0048995954121970236,0.006258593712958134,0.03244126053227423,0.04592006068939358,0.0691882261237519,0.08804703428002465,0.0,0.0,0.009019709736089974,0.007301692665117823,0.7461118740952452,0.9497415959413968
0.371240774060882,0.13698948199400962,0.0,0.325143693545497,0.21512336269307136,0.004920500862923659,0.006245791636676032,0.03642639444791246,0.050035988762218764,0.0691807733264789,0.08804476537648889,0.0,0.0,0.007417471450078948,0.006640507093268941,0.7027136195057467,0.9136734077875037
