oktmo,name,year,internat_inflow,internat_outflow,interreg_inflow,interreg_outflow,reg_inflow,reg_outflow,total_inflow,total_outflow
1657407,Бочкарёвский сельсовет,2019,6.0,1.0,8.0,18.0,41.0,85.0,55.0,104.0
1657468,Сухо-Чемровский сельсовет,2019,3.0,1.0,18.0,10.0,7.0,26.0,28.0,37.0
1658000,Чарышский муниципальный район,2019,7.0,8.0,93.0,143.0,284.0,404.0,384.0,555.0
1658488,Чарышский сельсовет,2019,3.0,6.0,30.0,39.0,96.0,105.0,129.0,150.0
1659000,Шипуновский муниципальный район,2019,29.0,5.0,208.0,381.0,703.0,896.0,940.0,1282.0
1659426,Горьковский сельсовет,2019,3.0,2.0,10.0,2.0,19.0,42.0,32.0,46.0
1659495,Шипуновский сельсовет,2019,7.0,2.0,78.0,203.0,344.0,356.0,429.0,561.0
1660000,Немецкий национальный муниципальный район,2019,95.0,22.0,322.0,391.0,238.0,432.0,655.0,845.0
1660405,Гришковский сельсовет,2019,12.0,3.0,11.0,23.0,16.0,31.0,39.0,57.0
1660415,Камышинский сельсовет,2019,5.0,1.0,15.0,12.0,13.0,14.0,33.0,27.0
1660420,Гальбштадтский сельсовет,2019,5.0,4.0,26.0,33.0,34.0,56.0,65.0,93.0
1660425,Николаевский сельсовет,2019,1.0,1.0,17.0,11.0,14.0,27.0,32.0,39.0
1660430,Орловский сельсовет,2019,16.0,8.0,56.0,61.0,26.0,56.0,98.0,125.0
1660450,Редкодубравский сельсовет,2019,13.0,3.0,17.0,29.0,14.0,24.0,44.0,56.0
1660470,Кусакский сельсовет,2019,14.0,2.0,41.0,41.0,24.0,29.0,79.0,72.0
1701000,город Барнаул,2019,7696.0,7616.0,4854.0,6904.0,11944.0,8624.0,24494.0,23144.0
1703000,город Алейск,2019,73.0,9.0,414.0,518.0,521.0,674.0,1008.0,1201.0
1704000,город Белокуриха,2019,58.0,40.0,264.0,282.0,357.0,294.0,679.0,616.0
1705000,город Бийск,2019,422.0,451.0,2069.0,2604.0,2705.0,1970.0,5196.0,5025.0
1706000,город Заринск,2019,63.0,58.0,457.0,590.0,764.0,690.0,1284.0,1338.0
1713000,город Новоалтайск,2019,536.0,99.0,669.0,736.0,2047.0,1319.0,3252.0,2154.0
1716000,город Рубцовск,2019,592.0,380.0,1631.0,2264.0,2730.0,2209.0,4953.0,4853.0
